sample,Gene,value,group,replicate
A_TP_120_REP_1,Mybl1,3.327209704,Anterior,1
A_TP_120_REP_2,Mybl1,4.136446378,Anterior,2
A_TP_120_REP_3,Mybl1,2.960986794,Anterior,3
A_TP_30_REP_1,Vcpip1,7.404867714,Anterior,1
A_TP_30_REP_2,Vcpip1,7.395978419,Anterior,2
A_TP_30_REP_3,Vcpip1,7.472952866,Anterior,3
A_TP_60_REP_1,Vcpip1,7.733860483,Anterior,1
A_TP_60_REP_2,Vcpip1,7.508591767,Anterior,2
A_TP_60_REP_3,Vcpip1,7.6127257,Anterior,3
A_TP_90_REP_1,Vcpip1,7.375777543,Anterior,1
A_TP_90_REP_2,Vcpip1,7.487776226,Anterior,2
A_TP_90_REP_3,Vcpip1,7.289672603,Anterior,3
A_TP_120_REP_1,Vcpip1,7.925898141,Anterior,1
A_TP_120_REP_2,Vcpip1,7.211504679,Anterior,2
A_TP_120_REP_3,Vcpip1,7.305806945,Anterior,3
A_TP_30_REP_1,Sgk3,5.005321992,Anterior,1
A_TP_30_REP_2,Sgk3,5.34045184,Anterior,2
A_TP_30_REP_3,Sgk3,5.255160901,Anterior,3
A_TP_60_REP_1,Sgk3,4.771422571,Anterior,1
A_TP_60_REP_2,Sgk3,5.283361953,Anterior,2
A_TP_60_REP_3,Sgk3,4.81538646,Anterior,3
A_TP_90_REP_1,Sgk3,5.078560582,Anterior,1
A_TP_90_REP_2,Sgk3,5.683633537,Anterior,2
A_TP_90_REP_3,Sgk3,4.77606624,Anterior,3
A_TP_120_REP_1,Sgk3,4.717138665,Anterior,1
A_TP_120_REP_2,Sgk3,4.857520507,Anterior,2
A_TP_120_REP_3,Sgk3,3.482828356,Anterior,3
A_TP_30_REP_1,Mcmdc2,4.095557673,Anterior,1
A_TP_30_REP_2,Mcmdc2,2.632173254,Anterior,2
A_TP_30_REP_3,Mcmdc2,2.900722025,Anterior,3
A_TP_60_REP_1,Mcmdc2,3.594359138,Anterior,1
A_TP_60_REP_2,Mcmdc2,2.626276168,Anterior,2
A_TP_60_REP_3,Mcmdc2,4.078642077,Anterior,3
A_TP_90_REP_1,Mcmdc2,3.621429308,Anterior,1
A_TP_90_REP_2,Mcmdc2,2.867841089,Anterior,2
A_TP_90_REP_3,Mcmdc2,4.77606624,Anterior,3
A_TP_120_REP_1,Mcmdc2,3.040776928,Anterior,1
A_TP_120_REP_2,Mcmdc2,4.573330518,Anterior,2
A_TP_120_REP_3,Mcmdc2,4.073418839,Anterior,3
A_TP_30_REP_1,Snhg6,6.309834301,Anterior,1
A_TP_30_REP_2,Snhg6,6.728352609,Anterior,2
A_TP_30_REP_3,Snhg6,6.62094202,Anterior,3
A_TP_60_REP_1,Snhg6,5.744765691,Anterior,1
A_TP_60_REP_2,Snhg6,6.475135846,Anterior,2
A_TP_60_REP_3,Snhg6,6.180579524,Anterior,3
A_TP_90_REP_1,Snhg6,6.714604544,Anterior,1
A_TP_90_REP_2,Snhg6,6.444537385,Anterior,2
A_TP_90_REP_3,Snhg6,6.736024817,Anterior,3
A_TP_120_REP_1,Snhg6,6.888460689,Anterior,1
A_TP_120_REP_2,Snhg6,6.477661338,Anterior,2
A_TP_120_REP_3,Snhg6,6.497555242,Anterior,3
A_TP_30_REP_1,Cops5,8.872973382,Anterior,1
A_TP_30_REP_2,Cops5,8.850761437,Anterior,2
A_TP_30_REP_3,Cops5,8.862585557,Anterior,3
A_TP_60_REP_1,Cops5,9.01935682,Anterior,1
A_TP_60_REP_2,Cops5,8.749759194,Anterior,2
