sample,Gene,value,group,replicate
S_TP_60_REP_1,Arfgef1,8.858977071,Somite,1
S_TP_60_REP_2,Arfgef1,8.946948489,Somite,2
S_TP_60_REP_3,Arfgef1,8.84261343,Somite,3
S_TP_90_REP_1,Arfgef1,8.753748845,Somite,1
S_TP_90_REP_2,Arfgef1,8.587857003,Somite,2
S_TP_90_REP_3,Arfgef1,8.567089771,Somite,3
S_TP_120_REP_1,Arfgef1,8.91860429,Somite,1
S_TP_120_REP_2,Arfgef1,8.641224834,Somite,2
S_TP_120_REP_3,Arfgef1,8.960657037,Somite,3
S_TP_30_REP_1,Prex2,7.198001984,Somite,1
S_TP_30_REP_2,Prex2,6.901386197,Somite,2
S_TP_30_REP_3,Prex2,7.24641343,Somite,3
S_TP_60_REP_1,Prex2,6.818451315,Somite,1
S_TP_60_REP_2,Prex2,6.937462337,Somite,2
S_TP_60_REP_3,Prex2,6.904995476,Somite,3
S_TP_90_REP_1,Prex2,7.346797531,Somite,1
S_TP_90_REP_2,Prex2,7.377243421,Somite,2
S_TP_90_REP_3,Prex2,7.092184683,Somite,3
S_TP_120_REP_1,Prex2,7.118683457,Somite,1
S_TP_120_REP_2,Prex2,7.175049871,Somite,2
S_TP_120_REP_3,Prex2,6.955077812,Somite,3
S_TP_30_REP_1,A830018L16Rik,3.868962357,Somite,1
S_TP_30_REP_2,A830018L16Rik,3.456263155,Somite,2
S_TP_30_REP_3,A830018L16Rik,2.55233393,Somite,3
S_TP_60_REP_1,A830018L16Rik,2.774772639,Somite,1
S_TP_60_REP_3,A830018L16Rik,3.269495343,Somite,3
S_TP_90_REP_1,A830018L16Rik,2.474368535,Somite,1
S_TP_90_REP_3,A830018L16Rik,1.150710998,Somite,3
S_TP_120_REP_1,A830018L16Rik,4.017980291,Somite,1
S_TP_120_REP_2,A830018L16Rik,3.410301391,Somite,2
S_TP_120_REP_3,A830018L16Rik,3.43909956,Somite,3
S_TP_30_REP_1,Sulf1,7.811251683,Somite,1
S_TP_30_REP_2,Sulf1,8.679517382,Somite,2
S_TP_30_REP_3,Sulf1,7.715827886,Somite,3
S_TP_60_REP_1,Sulf1,8.048761945,Somite,1
S_TP_60_REP_2,Sulf1,7.755457923,Somite,2
S_TP_60_REP_3,Sulf1,7.96283127,Somite,3
S_TP_90_REP_1,Sulf1,7.764665272,Somite,1
S_TP_90_REP_2,Sulf1,7.96326344,Somite,2
S_TP_90_REP_3,Sulf1,8.162564996,Somite,3
S_TP_120_REP_1,Sulf1,8.173143303,Somite,1
S_TP_120_REP_2,Sulf1,7.797851292,Somite,2
S_TP_120_REP_3,Sulf1,7.636735308,Somite,3
S_TP_30_REP_1,Slco5a1,3.868962357,Somite,1
S_TP_30_REP_2,Slco5a1,5.781838738,Somite,2
S_TP_30_REP_3,Slco5a1,5.25944783,Somite,3
S_TP_60_REP_1,Slco5a1,4.336331102,Somite,1
S_TP_60_REP_2,Slco5a1,4.300349267,Somite,2
S_TP_60_REP_3,Slco5a1,4.630434268,Somite,3
S_TP_90_REP_1,Slco5a1,3.874966092,Somite,1
S_TP_90_REP_2,Slco5a1,5.482315295,Somite,2
S_TP_90_REP_3,Slco5a1,5.136130678,Somite,3
S_TP_120_REP_1,Slco5a1,5.542318938,Somite,1
S_TP_120_REP_2,Slco5a1,4.991928281,Somite,2
S_TP_120_REP_3,Slco5a1,5.711999469,Somite,3
S_TP_30_REP_1,Ncoa2,7.036445216,Somite,1
S_TP_30_REP_2,Ncoa2,7.26112933,Somite,2
S_TP_30_REP_3,Ncoa2,6.98527805,Somite,3
S_TP_60_REP_1,Ncoa2,7.098814295,Somite,1
S_TP_60_REP_2,Ncoa2,7.142342977,Somite,2
S_TP_60_REP_3,Ncoa2,6.891930526,Somite,3
S_TP_90_REP_1,Ncoa2,7.105564929,Somite,1
S_TP_90_REP_2,Ncoa2,6.73011689,Somite,2
S_TP_90_REP_3,Ncoa2,7.285120807,Somite,3
S_TP_120_REP_1,Ncoa2,7.154646242,Somite,1
S_TP_120_REP_2,Ncoa2,6.847191827,Somite,2
S_TP_120_REP_3,Ncoa2,6.986533877,Somite,3
S_TP_30_REP_1,Tram1,9.283568966,Somite,1
S_TP_30_REP_2,Tram1,10.32435629,Somite,2
S_TP_30_REP_3,Tram1,9.819557163,Somite,3
S_TP_60_REP_1,Tram1,9.631606819,Somite,1
S_TP_60_REP_2,Tram1,9.481464891,Somite,2
S_TP_60_REP_3,Tram1,9.393304571,Somite,3
S_TP_90_REP_1,Tram1,9.503032937,Somite,1
S_TP_90_REP_2,Tram1,9.44892154,Somite,2
S_TP_90_REP_3,Tram1,9.725573102,Somite,3
S_TP_120_REP_1,Tram1,9.294011203,Somite,1
S_TP_120_REP_2,Tram1,9.24515904,Somite,2
S_TP_120_REP_3,Tram1,9.697414713,Somite,3
S_TP_30_REP_1,Lactb2,6.701176554,Somite,1
S_TP_30_REP_2,Lactb2,7.51825902,Somite,2
S_TP_30_REP_3,Lactb2,7.454165317,Somite,3
S_TP_60_REP_1,Lactb2,7.008161722,Somite,1
S_TP_60_REP_2,Lactb2,6.69859272,Somite,2
S_TP_60_REP_3,Lactb2,7.260537974,Somite,3
S_TP_90_REP_1,Lactb2,6.207811644,Somite,1
S_TP_90_REP_2,Lactb2,6.275772401,Somite,2
S_TP_90_REP_3,Lactb2,7.15529399,Somite,3
S_TP_120_REP_1,Lactb2,7.433663354,Somite,1
S_TP_120_REP_2,Lactb2,7.342795594,Somite,2
